record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.env,2026-06-30T19:00:14.789Z,2026-06-30 14:00:14.789,2501,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045000,AS7263,as7263,breadboard_near_esp32,nir_730,3919,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:14.874Z,2026-06-30 14:00:14.874,2502,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045000,AS7263,as7263,breadboard_near_esp32,nir_760,7441,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:14.960Z,2026-06-30 14:00:14.960,2503,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045000,AS7263,as7263,breadboard_near_esp32,nir_810,6705,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:15.041Z,2026-06-30 14:00:15.041,2504,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045000,AS7263,as7263,breadboard_near_esp32,nir_860,9771,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:15.107Z,2026-06-30 14:00:15.107,2505,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045641,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3183,,,OK,,,,,level=air-dry;role=diag;spread=16;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:15.192Z,2026-06-30 14:00:15.192,2506,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045641,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3196,,,OK,,,,,level=air-dry;role=diag;spread=19;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:15.269Z,2026-06-30 14:00:15.269,2507,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045641,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3224,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:15.343Z,2026-06-30 14:00:15.343,2508,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1045641,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3149,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.425Z,2026-06-30 14:00:19.425,2509,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,SHT45,sht45,breadboard_near_esp32,ambient_temp,28421,30.89,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.511Z,2026-06-30 14:00:19.511,2510,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,SHT45,sht45,breadboard_near_esp32,ambient_rh,25377,42.40,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.639Z,2026-06-30 14:00:19.639,2511,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,AS7263,as7263,breadboard_near_esp32,nir_610,3595,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.719Z,2026-06-30 14:00:19.719,2512,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,AS7263,as7263,breadboard_near_esp32,nir_680,28947,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.799Z,2026-06-30 14:00:19.799,2513,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,AS7263,as7263,breadboard_near_esp32,nir_730,3710,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.877Z,2026-06-30 14:00:19.877,2514,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,AS7263,as7263,breadboard_near_esp32,nir_760,7104,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:19.958Z,2026-06-30 14:00:19.958,2515,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,AS7263,as7263,breadboard_near_esp32,nir_810,6391,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T19:00:20.027Z,2026-06-30 14:00:20.027,2516,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050000,AS7263,as7263,breadboard_near_esp32,nir_860,9404,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:20.112Z,2026-06-30 14:00:20.112,2517,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050638,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3184,,,OK,,,,,level=air-dry;role=diag;spread=18;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:20.189Z,2026-06-30 14:00:20.189,2518,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050638,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3197,,,OK,,,,,level=air-dry;role=diag;spread=22;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:20.260Z,2026-06-30 14:00:20.260,2519,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050638,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3224,,,OK,,,,,level=air-dry;role=diag;spread=22;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T19:00:20.343Z,2026-06-30 14:00:20.343,2520,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,1050638,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3153,,,OK,,,,,level=air-dry;role=diag;spread=29;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
