record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.soil,2026-06-30T21:01:45.431Z,2026-06-30 16:01:45.431,20001,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8335641,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3148,,,OK,,,,,level=air-dry;role=diag;spread=55;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:01:45.502Z,2026-06-30 16:01:45.502,20002,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8335641,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3180,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:01:45.583Z,2026-06-30 16:01:45.583,20003,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8335641,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3197,,,OK,,,,,level=air-dry;role=diag;spread=27;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:01:45.659Z,2026-06-30 16:01:45.659,20004,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8335641,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3133,,,OK,,,,,level=air-dry;role=diag;spread=58;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:49.752Z,2026-06-30 16:01:49.752,20005,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,SHT45,sht45,breadboard_near_esp32,ambient_temp,27601,28.70,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:49.827Z,2026-06-30 16:01:49.827,20006,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,SHT45,sht45,breadboard_near_esp32,ambient_rh,29300,49.89,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:49.949Z,2026-06-30 16:01:49.949,20007,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,AS7263,as7263,breadboard_near_esp32,nir_610,545,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:50.028Z,2026-06-30 16:01:50.028,20008,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,AS7263,as7263,breadboard_near_esp32,nir_680,1205,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:50.108Z,2026-06-30 16:01:50.108,20009,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,AS7263,as7263,breadboard_near_esp32,nir_730,338,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:50.188Z,2026-06-30 16:01:50.188,20010,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,AS7263,as7263,breadboard_near_esp32,nir_760,637,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:50.267Z,2026-06-30 16:01:50.267,20011,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,AS7263,as7263,breadboard_near_esp32,nir_810,1222,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:01:50.354Z,2026-06-30 16:01:50.354,20012,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,8340000,AS7263,as7263,breadboard_near_esp32,nir_860,1449,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
