record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.env,2026-06-30T22:11:14.933Z,2026-06-30 17:11:14.933,30001,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,SHT45,sht45,breadboard_near_esp32,ambient_temp,27746,29.09,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.008Z,2026-06-30 17:11:15.008,30002,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,SHT45,sht45,breadboard_near_esp32,ambient_rh,29105,49.51,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.138Z,2026-06-30 17:11:15.138,30003,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,AS7263,as7263,breadboard_near_esp32,nir_610,287,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.218Z,2026-06-30 17:11:15.218,30004,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,AS7263,as7263,breadboard_near_esp32,nir_680,515,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.298Z,2026-06-30 17:11:15.298,30005,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,AS7263,as7263,breadboard_near_esp32,nir_730,213,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.377Z,2026-06-30 17:11:15.377,30006,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,AS7263,as7263,breadboard_near_esp32,nir_760,318,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.457Z,2026-06-30 17:11:15.457,30007,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,AS7263,as7263,breadboard_near_esp32,nir_810,507,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T22:11:15.536Z,2026-06-30 17:11:15.536,30008,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505000,AS7263,as7263,breadboard_near_esp32,nir_860,573,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T22:11:15.614Z,2026-06-30 17:11:15.614,30009,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505642,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3177,,,OK,,,,,level=air-dry;role=diag;spread=50;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T22:11:15.690Z,2026-06-30 17:11:15.690,30010,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,12505642,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3183,,,OK,,,,,level=air-dry;role=diag;spread=48;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
