record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.env,2026-06-30T18:18:15.303Z,2026-06-30 13:18:15.303,1,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,SHT45,sht45,breadboard_near_esp32,ambient_temp,27366,28.08,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.321Z,2026-06-30 13:18:16.321,2,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,SHT45,sht45,breadboard_near_esp32,ambient_rh,28456,48.28,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.324Z,2026-06-30 13:18:16.324,3,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_610,300,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.324Z,2026-06-30 13:18:16.324,4,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_680,433,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.326Z,2026-06-30 13:18:16.326,5,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_730,478,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.326Z,2026-06-30 13:18:16.326,6,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_760,439,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.328Z,2026-06-30 13:18:16.328,7,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_810,482,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.env,2026-06-30T18:18:16.328Z,2026-06-30 13:18:16.328,8,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_860,356,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.soil,2026-06-30T18:18:16.330Z,2026-06-30 13:18:16.330,9,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3187,,,OK,,,,,level=air-dry;role=diag;spread=25;gpio=36,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
plants.soil,2026-06-30T18:18:16.330Z,2026-06-30 13:18:16.330,10,c61f05,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3183,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=39,,logs/Sprout ESP32_20260630_181815.csv,c61f05,cardboard_shield_baseline,operator exact lift at 13:25
