record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.env,2026-06-30T18:42:54.377Z,2026-06-30 13:42:54.377,1,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,SHT45,sht45,breadboard_near_esp32,ambient_temp,29782,34.53,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,2,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,SHT45,sht45,breadboard_near_esp32,ambient_rh,22548,37.01,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,3,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_610,5645,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,4,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_680,51201,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,5,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_730,5884,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,6,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_760,11079,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,7,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_810,12880,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.env,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,8,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_860,51201,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T18:42:55.380Z,2026-06-30 13:42:55.380,9,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3223,,,OK,,,,,level=air-dry;role=diag;spread=19;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T18:42:55.394Z,2026-06-30 13:42:55.394,10,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3244,,,OK,,,,,level=air-dry;role=diag;spread=25;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T18:42:55.394Z,2026-06-30 13:42:55.394,11,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3264,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
plants.soil,2026-06-30T18:42:55.394Z,2026-06-30 13:42:55.394,12,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3188,,,OK,,,,,level=air-dry;role=diag;spread=28;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,direct_sun_restart_and_transit,AS7263/SHT45 peak and shade transition
