record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.soil,2026-06-30T19:17:35.161Z,2026-06-30 14:17:35.161,5001,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2085641,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3174,,,OK,,,,,level=air-dry;role=diag;spread=71;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T19:17:35.236Z,2026-06-30 14:17:35.236,5002,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2085641,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3187,,,OK,,,,,level=air-dry;role=diag;spread=83;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T19:17:35.314Z,2026-06-30 14:17:35.314,5003,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2085641,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3199,,,OK,,,,,level=air-dry;role=diag;spread=37;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T19:17:35.385Z,2026-06-30 14:17:35.385,5004,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2085641,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3140,,,OK,,,,,level=air-dry;role=diag;spread=52;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T19:17:39.482Z,2026-06-30 14:17:39.482,5005,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2090000,SHT45,sht45,breadboard_near_esp32,ambient_temp,27594,28.69,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T19:17:39.556Z,2026-06-30 14:17:39.556,5006,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2090000,SHT45,sht45,breadboard_near_esp32,ambient_rh,28576,48.51,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T19:17:39.687Z,2026-06-30 14:17:39.687,5007,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2090000,AS7263,as7263,breadboard_near_esp32,nir_610,935,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T19:17:39.767Z,2026-06-30 14:17:39.767,5008,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2090000,AS7263,as7263,breadboard_near_esp32,nir_680,2221,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T19:17:39.835Z,2026-06-30 14:17:39.835,5009,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2090000,AS7263,as7263,breadboard_near_esp32,nir_730,413,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T19:17:39.926Z,2026-06-30 14:17:39.926,5010,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,2090000,AS7263,as7263,breadboard_near_esp32,nir_760,1102,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
