plants.env,2026-07-01T17:30:24.288Z,2026-07-01 12:30:24.288,3007,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,264476,AS7263,as7263,breadboard_near_esp32,nir_610,360,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:24.380Z,2026-07-01 12:30:24.380,3008,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,264476,AS7263,as7263,breadboard_near_esp32,nir_680,973,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:24.455Z,2026-07-01 12:30:24.455,3009,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,264476,AS7263,as7263,breadboard_near_esp32,nir_730,242,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:24.524Z,2026-07-01 12:30:24.524,3010,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,264476,AS7263,as7263,breadboard_near_esp32,nir_760,440,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:24.606Z,2026-07-01 12:30:24.606,3011,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,264476,AS7263,as7263,breadboard_near_esp32,nir_810,1172,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:24.689Z,2026-07-01 12:30:24.689,3012,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,264476,AS7263,as7263,breadboard_near_esp32,nir_860,1443,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.soil,2026-07-01T17:30:24.806Z,2026-07-01 12:30:24.806,3013,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265206,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2338,,,OK,,,,,level=dry;role=disp;spread=19;gpio=36,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s3
plants.soil,2026-07-01T17:30:24.886Z,2026-07-01 12:30:24.886,3014,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265206,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1708,,,OK,,,,,level=OK;role=disp;spread=22;gpio=39,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s4
plants.soil,2026-07-01T17:30:24.956Z,2026-07-01 12:30:24.956,3015,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265206,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1365,,,OK,,,,,level=well watered;role=disp;spread=42;gpio=34,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s1
plants.soil,2026-07-01T17:30:25.038Z,2026-07-01 12:30:25.038,3016,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265206,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2565,,,OK,,,,,level=dry;role=disp;spread=30;gpio=35,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s2
plants.env,2026-07-01T17:30:25.106Z,2026-07-01 12:30:25.106,3017,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265472,SHT45,sht45,breadboard_near_esp32,ambient_temp,26934,26.92,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,sht45
plants.env,2026-07-01T17:30:25.173Z,2026-07-01 12:30:25.173,3018,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265472,SHT45,sht45,breadboard_near_esp32,ambient_rh,28800,48.93,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,sht45
plants.env,2026-07-01T17:30:25.289Z,2026-07-01 12:30:25.289,3019,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265472,AS7263,as7263,breadboard_near_esp32,nir_610,361,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:25.374Z,2026-07-01 12:30:25.374,3020,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265472,AS7263,as7263,breadboard_near_esp32,nir_680,973,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:30:25.454Z,2026-07-01 12:30:25.454,3021,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,265472,AS7263,as7263,breadboard_near_esp32,nir_730,242,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
