# log_start_utc=2026-07-01T20:58:51.551Z  tz_offset=-05:00  logger=plants_logger_0_4  schema_version=1
# boot plants controller fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# plants telemetry  schema_version=1  contract=docs/TELEMETRY_SCHEMA.md@v1
# fw=0.7.0  git=e5ae530  built=Jul  1 2026 15:32:45  run=4probe-coloc-origplant
# device_id=Sprout ESP32 (default)  chip=ESP32-D0WD-V3  adc=ADC1,12bit,11dB,eFuseCal=off
# board: esp32-classic  wifi=yes  channels=4  adc=12bit  storage=nvs  tier0=monitor(untethered-ready)
# session_id=447578  cadence_ms=5000  cadence_src=nvs
# sensors: ch0=GPIO36/s3@origplant ch1=GPIO39/s4@origplant ch2=GPIO34/s1@origplant ch3=GPIO35/s2@origplant  (model=UMLIFE_v2_TLC555)
# health: ch0=OK ch1=OK ch2=OK ch3=OK  (NO_SIGNAL/SUSPECT = probe fault; supervisor won't water it, latch x3)
# cal bounds(dry>wet): 3050 2140 1830 1520 1150 1050
# cfg: smp=100 trim=15 db=60 confirm_ms=3000/3000/2000 spr=250 discard=4
# safety: fail-safe OFF (4ch CW-022 active-low, off=HIGH)  task-wdt=8000ms  dose<=5000ms  autonomous=disarmed (!auto,on arms; !water=manual dose)
# env(bench): SHT45 ambient_temp/rh + AS7263 NIR(610-860nm) on I2C SDA21/SCL22 - breadboard_near_esp32, CONTEXT not plant-truth
# env cfg: AS7263 gain=16x itime=140ms I2C=100kHz - FIXED, no auto-range (#416); logged per row + here
# device_cols: record_type,session_id,device_id,fw,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,payload
# authoritative: raw_value (ADC counts) + band (payload 'level'); value/unit are NULL - reserved for a future calibrated VWC, never an uncalibrated %.
# time: source=device_uptime (no NTP/RTC yet, #21) - device_seq/time_source ride each row's payload, schema v2 Â§11.1/Â§11.2
# irrig ev=probe_not_in_soil ch=0 level=air-dry raw=3159 spread=20 t=2184
# irrig ev=probe_not_in_soil ch=1 level=air-dry raw=3179 spread=64 t=2184
# irrig ev=probe_not_in_soil ch=2 level=air-dry raw=3173 spread=62 t=2184
# irrig ev=probe_not_in_soil ch=3 level=air-dry raw=3125 spread=46 t=2184
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-01T20:58:51.551Z,2026-07-01 15:58:51.551,1,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3159,,,OK,,,,,level=air-dry;role=diag;spread=20;gpio=36;device_seq=0;time_source=device_uptime,
plants.soil,2026-07-01T20:58:52.741Z,2026-07-01 15:58:52.741,2,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3179,,,OK,,,,,level=air-dry;role=diag;spread=55;gpio=39;device_seq=1;time_source=device_uptime,
plants.soil,2026-07-01T20:58:52.741Z,2026-07-01 15:58:52.741,3,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3173,,,OK,,,,,level=air-dry;role=diag;spread=59;gpio=34;device_seq=2;time_source=device_uptime,
plants.soil,2026-07-01T20:58:52.751Z,2026-07-01 15:58:52.751,4,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3125,,,OK,,,,,level=air-dry;role=diag;spread=60;gpio=35;device_seq=3;time_source=device_uptime,
plants.env,2026-07-01T20:58:52.752Z,2026-07-01 15:58:52.752,5,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5389,SHT45,sht45,breadboard_near_esp32,ambient_temp,27519,28.48,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T20:58:52.752Z,2026-07-01 15:58:52.752,6,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5389,SHT45,sht45,breadboard_near_esp32,ambient_rh,27583,46.61,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T20:58:52.752Z,2026-07-01 15:58:52.752,7,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5389,AS7263,as7263,breadboard_near_esp32,nir_610,17,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T20:58:52.752Z,2026-07-01 15:58:52.752,8,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5389,AS7263,as7263,breadboard_near_esp32,nir_680,263,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T20:58:52.752Z,2026-07-01 15:58:52.752,9,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5389,AS7263,as7263,breadboard_near_esp32,nir_730,14,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T20:58:52.752Z,2026-07-01 15:58:52.752,10,447578,Sprout ESP32,0.7.0,plants_logger_0_4,5389,AS7263,as7263,breadboard_near_esp32,nir_760,55,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
