# plant=p02 Pothos (XXL) d3 sensor=s2 ip=192.168.68.87 dose_ml=237.0
ts_utc,device_seq,raw,band
2026-07-08T00:20:14+00:00,34943,2426,dry
2026-07-08T00:20:24+00:00,34947,2388,dry
2026-07-08T00:20:54+00:00,34951,2423,dry
2026-07-08T00:21:16+00:00,34955,2426,dry
2026-07-08T00:21:47+00:00,34959,2424,dry
2026-07-08T00:22:17+00:00,34963,1704,dry
2026-07-08T00:22:48+00:00,34967,1729,OK
2026-07-08T00:23:18+00:00,34971,1932,OK
2026-07-08T00:23:49+00:00,34975,2007,needs water
2026-07-08T00:24:19+00:00,34979,2057,needs water
2026-07-08T00:24:50+00:00,34983,2120,needs water
2026-07-08T00:25:20+00:00,34987,2129,needs water
2026-07-08T00:25:51+00:00,34991,2164,needs water
2026-07-08T00:26:21+00:00,34995,2231,needs water
2026-07-08T00:26:52+00:00,34999,2211,dry
2026-07-08T00:27:22+00:00,35003,2199,dry
2026-07-08T00:27:53+00:00,35007,2228,dry
2026-07-08T00:28:23+00:00,35011,2194,dry
2026-07-08T00:28:54+00:00,35015,2212,dry
2026-07-08T00:29:25+00:00,35019,2240,dry
2026-07-08T00:29:46+00:00,35023,2206,dry
2026-07-08T00:30:17+00:00,35027,2204,dry
2026-07-08T00:30:47+00:00,35031,2249,dry
2026-07-08T00:31:17+00:00,35035,2229,dry
2026-07-08T00:31:48+00:00,35039,2241,dry
2026-07-08T00:32:18+00:00,35043,2262,dry
2026-07-08T00:32:49+00:00,35047,2274,dry
2026-07-08T00:33:19+00:00,35051,2305,dry
2026-07-08T00:33:49+00:00,35055,2315,dry
2026-07-08T00:34:20+00:00,35059,2366,dry
2026-07-08T00:34:50+00:00,35063,2358,dry
2026-07-08T00:35:21+00:00,35067,2369,dry
2026-07-08T00:35:51+00:00,35071,2413,dry
2026-07-08T00:36:22+00:00,35075,2344,dry
2026-07-08T00:36:52+00:00,35079,2345,dry
