# log_start_utc=2026-07-27T00:00:05.102Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-27T16:04:20.421Z,2026-07-27 11:04:20.421,14087,6762df,y9d41p,0.7.3,fleet_logger_0_1,525150036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1620,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=22;gpio=39;device_seq=70017;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525150;heap=195368;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:04:20.421Z,2026-07-27 11:04:20.421,14088,6762df,y9d41p,0.7.3,fleet_logger_0_1,525150036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1849,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=25;gpio=34;device_seq=70018;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525150;heap=195368;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:04:20.421Z,2026-07-27 11:04:20.421,14089,6762df,y9d41p,0.7.3,fleet_logger_0_1,525150036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1833,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=24;gpio=35;device_seq=70019;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525150;heap=195368;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:04:20.421Z,2026-07-27 11:04:20.421,14090,6762df,y9d41p,0.7.3,fleet_logger_0_1,525150791,ESP32,esp32_die,on_chip,die_temp,,53.33,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T16:04:50.936Z,2026-07-27 11:04:50.936,14091,6762df,y9d41p,0.7.3,fleet_logger_0_1,525180036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1542,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=33;gpio=36;device_seq=70020;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:46.236Z;config_id=257fa022;rssi=-61;uptime_s=525180;heap=195380;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:04:50.936Z,2026-07-27 11:04:50.936,14092,6762df,y9d41p,0.7.3,fleet_logger_0_1,525180036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1618,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=15;gpio=39;device_seq=70021;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:46.236Z;config_id=257fa022;rssi=-61;uptime_s=525180;heap=195380;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:04:50.936Z,2026-07-27 11:04:50.936,14093,6762df,y9d41p,0.7.3,fleet_logger_0_1,525180036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1848,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=14;gpio=34;device_seq=70022;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:46.236Z;config_id=257fa022;rssi=-61;uptime_s=525180;heap=195380;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:04:50.936Z,2026-07-27 11:04:50.936,14094,6762df,y9d41p,0.7.3,fleet_logger_0_1,525180036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1837,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=17;gpio=35;device_seq=70023;time_source=device_synced;device_timestamp_utc=2026-07-27T16:04:46.236Z;config_id=257fa022;rssi=-61;uptime_s=525180;heap=195380;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:04:50.936Z,2026-07-27 11:04:50.936,14095,6762df,y9d41p,0.7.3,fleet_logger_0_1,525180791,ESP32,esp32_die,on_chip,die_temp,,52.78,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T16:05:21.246Z,2026-07-27 11:05:21.246,14096,6762df,y9d41p,0.7.3,fleet_logger_0_1,525210036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1526,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=14;gpio=36;device_seq=70024;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:16.236Z;config_id=257fa022;rssi=-68;uptime_s=525210;heap=195628;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
