# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_210013_p11_48h_4probe_check subject=p11_48h_4probe_check sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T21:00:16.248Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T21:00:17.864Z,2026-07-01 16:00:17.864,15,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3545,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3168,,,OK,,,,,level=air-dry;role=diag;spread=65;gpio=34;device_seq=6;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s1
plants.soil,2026-07-01T21:00:17.955Z,2026-07-01 16:00:17.955,16,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3545,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3130,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=35;device_seq=7;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s2
plants.env,2026-07-01T21:00:18.022Z,2026-07-01 16:00:18.022,17,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,SHT45,sht45,breadboard_near_esp32,ambient_temp,27525,28.50,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,sht45
plants.env,2026-07-01T21:00:18.096Z,2026-07-01 16:00:18.096,18,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,SHT45,sht45,breadboard_near_esp32,ambient_rh,27517,46.49,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,sht45
plants.env,2026-07-01T21:00:18.216Z,2026-07-01 16:00:18.216,19,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,AS7263,as7263,breadboard_near_esp32,nir_610,17,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:18.300Z,2026-07-01 16:00:18.300,20,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,AS7263,as7263,breadboard_near_esp32,nir_680,250,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:18.369Z,2026-07-01 16:00:18.369,21,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,AS7263,as7263,breadboard_near_esp32,nir_730,12,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:18.450Z,2026-07-01 16:00:18.450,22,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,AS7263,as7263,breadboard_near_esp32,nir_760,52,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:18.536Z,2026-07-01 16:00:18.536,23,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,AS7263,as7263,breadboard_near_esp32,nir_810,54,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:18.600Z,2026-07-01 16:00:18.600,24,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,3934,AS7263,as7263,breadboard_near_esp32,nir_860,159,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.soil,2026-07-01T21:00:18.864Z,2026-07-01 16:00:18.864,25,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,4740,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3192,,,OK,,,,,level=air-dry;role=diag;spread=14;gpio=36;device_seq=8;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s3
plants.soil,2026-07-01T21:00:18.947Z,2026-07-01 16:00:18.947,26,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,4740,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3181,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=39;device_seq=9;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s4
