# log_start_utc=2026-07-07T01:09:57.417Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-07T01:09:57.417Z,2026-07-06 20:09:57.417,1,910015,n3jhsp,0.7.0,fleet_logger_0_1,810001,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=290;gpio=1;device_seq=104;time_source=device_synced;device_timestamp_utc=2026-07-07T01:09:35.870Z;config_id=35a02d00;fault=dead_adc;rssi=-39;uptime_s=810;heap=151696;transport=wifi_poll,
plants.soil,2026-07-07T01:09:57.417Z,2026-07-06 20:09:57.417,2,910015,n3jhsp,0.7.0,fleet_logger_0_1,810001,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=274;gpio=4;device_seq=105;time_source=device_synced;device_timestamp_utc=2026-07-07T01:09:35.870Z;config_id=35a02d00;fault=dead_adc;rssi=-39;uptime_s=810;heap=151696;transport=wifi_poll,
plants.soil,2026-07-07T01:09:57.417Z,2026-07-06 20:09:57.417,3,910015,n3jhsp,0.7.0,fleet_logger_0_1,810001,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=208;gpio=5;device_seq=106;time_source=device_synced;device_timestamp_utc=2026-07-07T01:09:35.870Z;config_id=35a02d00;fault=dead_adc;rssi=-39;uptime_s=810;heap=151696;transport=wifi_poll,
plants.soil,2026-07-07T01:09:57.417Z,2026-07-06 20:09:57.417,4,910015,n3jhsp,0.7.0,fleet_logger_0_1,810001,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1258,,,SUSPECT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=304;gpio=6;device_seq=107;time_source=device_synced;device_timestamp_utc=2026-07-07T01:09:35.870Z;config_id=35a02d00;rssi=-39;uptime_s=810;heap=151696;transport=wifi_poll,
plants.env,2026-07-07T01:09:57.417Z,2026-07-06 20:09:57.417,5,910015,n3jhsp,0.7.0,fleet_logger_0_1,810601,ESP32,esp32_die,on_chip,die_temp,,29.20,degC,OK,,,,,name=Sprout ESP32;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=35a02d00;transport=wifi_poll,
plants.soil,2026-07-07T01:10:33.666Z,2026-07-06 20:10:33.666,6,910015,n3jhsp,0.7.0,fleet_logger_0_1,840001,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=278;gpio=1;device_seq=108;time_source=device_synced;device_timestamp_utc=2026-07-07T01:10:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=840;heap=151404;transport=wifi_poll,
plants.soil,2026-07-07T01:10:33.666Z,2026-07-06 20:10:33.666,7,910015,n3jhsp,0.7.0,fleet_logger_0_1,840001,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=279;gpio=4;device_seq=109;time_source=device_synced;device_timestamp_utc=2026-07-07T01:10:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=840;heap=151404;transport=wifi_poll,
plants.soil,2026-07-07T01:10:33.666Z,2026-07-06 20:10:33.666,8,910015,n3jhsp,0.7.0,fleet_logger_0_1,840001,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=203;gpio=5;device_seq=110;time_source=device_synced;device_timestamp_utc=2026-07-07T01:10:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=840;heap=151404;transport=wifi_poll,
plants.soil,2026-07-07T01:10:33.666Z,2026-07-06 20:10:33.666,9,910015,n3jhsp,0.7.0,fleet_logger_0_1,840001,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=298;gpio=6;device_seq=111;time_source=device_synced;device_timestamp_utc=2026-07-07T01:10:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=840;heap=151404;transport=wifi_poll,
plants.env,2026-07-07T01:10:33.666Z,2026-07-06 20:10:33.666,10,910015,n3jhsp,0.7.0,fleet_logger_0_1,840618,ESP32,esp32_die,on_chip,die_temp,,29.20,degC,OK,,,,,name=Sprout ESP32;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=35a02d00;transport=wifi_poll,
plants.soil,2026-07-07T01:11:09.110Z,2026-07-06 20:11:09.110,11,910015,n3jhsp,0.7.0,fleet_logger_0_1,900001,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=290;gpio=1;device_seq=116;time_source=device_synced;device_timestamp_utc=2026-07-07T01:11:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=900;heap=150884;transport=wifi_poll,
plants.soil,2026-07-07T01:11:09.110Z,2026-07-06 20:11:09.110,12,910015,n3jhsp,0.7.0,fleet_logger_0_1,900001,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=266;gpio=4;device_seq=117;time_source=device_synced;device_timestamp_utc=2026-07-07T01:11:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=900;heap=150884;transport=wifi_poll,
plants.soil,2026-07-07T01:11:09.110Z,2026-07-06 20:11:09.110,13,910015,n3jhsp,0.7.0,fleet_logger_0_1,900001,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=185;gpio=5;device_seq=118;time_source=device_synced;device_timestamp_utc=2026-07-07T01:11:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=900;heap=150884;transport=wifi_poll,
plants.soil,2026-07-07T01:11:09.110Z,2026-07-06 20:11:09.110,14,910015,n3jhsp,0.7.0,fleet_logger_0_1,900001,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,0,,,SENSOR_FAULT,,,,,name=Sprout ESP32;level=submerged;role=diag;spread=280;gpio=6;device_seq=119;time_source=device_synced;device_timestamp_utc=2026-07-07T01:11:05.870Z;config_id=35a02d00;fault=dead_adc;rssi=-33;uptime_s=900;heap=150884;transport=wifi_poll,
plants.env,2026-07-07T01:11:09.110Z,2026-07-06 20:11:09.110,15,910015,n3jhsp,0.7.0,fleet_logger_0_1,900618,ESP32,esp32_die,on_chip,die_temp,,29.20,degC,OK,,,,,name=Sprout ESP32;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=35a02d00;transport=wifi_poll,
