# log_start_utc=2026-07-28T00:00:13.822Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-28T00:01:15.978Z,2026-07-27 19:01:15.978,18822,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553710035,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1344,,,OK,,,983.6,,name=c5off1;level=well watered;role=disp;spread=21;gpio=4;device_seq=73825;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553710;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:01:15.978Z,2026-07-27 19:01:15.978,18823,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553710035,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1203,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=8;gpio=5;device_seq=73826;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553710;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:01:15.978Z,2026-07-27 19:01:15.978,18824,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553710035,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1592,,,OK,,,983.6,,name=c5off1;level=OK;role=disp;spread=11;gpio=6;device_seq=73827;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553710;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-28T00:01:15.978Z,2026-07-27 19:01:15.978,18825,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553710719,ESP32,esp32_die,on_chip,die_temp,,23.70,degC,OK,,,,,name=c5off1;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=170b1c1e;transport=wifi_poll,
plants.soil,2026-07-28T00:01:46.381Z,2026-07-27 19:01:46.381,18826,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553740035,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1225,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=12;gpio=1;device_seq=73828;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:32.087Z;config_id=170b1c1e;rssi=-59;uptime_s=553740;heap=152656;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:01:46.381Z,2026-07-27 19:01:46.381,18827,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553740035,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1345,,,OK,,,983.6,,name=c5off1;level=well watered;role=disp;spread=20;gpio=4;device_seq=73829;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:32.087Z;config_id=170b1c1e;rssi=-59;uptime_s=553740;heap=152656;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:01:46.381Z,2026-07-27 19:01:46.381,18828,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553740035,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1203,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=9;gpio=5;device_seq=73830;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:32.087Z;config_id=170b1c1e;rssi=-59;uptime_s=553740;heap=152656;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:01:46.381Z,2026-07-27 19:01:46.381,18829,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553740035,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1584,,,OK,,,983.6,,name=c5off1;level=OK;role=disp;spread=31;gpio=6;device_seq=73831;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:32.087Z;config_id=170b1c1e;rssi=-59;uptime_s=553740;heap=152656;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-28T00:01:46.381Z,2026-07-27 19:01:46.381,18830,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553740719,ESP32,esp32_die,on_chip,die_temp,,23.70,degC,OK,,,,,name=c5off1;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=170b1c1e;transport=wifi_poll,
plants.soil,2026-07-28T00:02:17.208Z,2026-07-27 19:02:17.208,18831,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553770035,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1228,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=7;gpio=1;device_seq=73832;time_source=device_synced;device_timestamp_utc=2026-07-28T00:02:02.087Z;config_id=170b1c1e;rssi=-60;uptime_s=553770;heap=152608;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:02:17.208Z,2026-07-27 19:02:17.208,18832,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553770035,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1357,,,OK,,,983.6,,name=c5off1;level=well watered;role=disp;spread=12;gpio=4;device_seq=73833;time_source=device_synced;device_timestamp_utc=2026-07-28T00:02:02.087Z;config_id=170b1c1e;rssi=-60;uptime_s=553770;heap=152608;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
